Membership No  Date Joined  Active  
    24294      2017-10-13   no    
    60113      2020-5-1     no    
    26225      2015-4-14    no    
    68232      2018-2-18    no    
    31152      2019-4-15    no    
    19916      2020-6-17    no    
    89824      2015-8-6     no    
    93145      2019-5-1     no    
    31644      2015-7-1     no    
    40319      2018-9-16    no    
    87528      2019-7-8     no    
    22212      2015-3-5     no    
    90197      2017-8-5     no    
    62345      2019-1-19    no    
    89937      2020-12-1    no    
