Membership No  Date Joined  Active  
    78498      2016-11-23   no    
    78706      2015-11-17   no    
    38741      2018-2-25    no    
    62945      2018-12-16   no    
    64246      2017-9-12    no    
    77950      2019-9-7     no    
    89511      2018-9-16    no    
    60414      2017-4-4     no    
    78729      2020-2-2     no    
    48139      2020-7-23    no    
    47266      2020-4-18    no    
    27436      2016-6-24    no    
    26062      2017-9-17    no    
    79713      2017-8-17    no    
